trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.4, 'e': 0.8877549425285923}",20,0,-61.13992973638855,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
120,False,"{'a': 0.4, 'e': 0.8868671875860638}",25,7,-24.588206872647955,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.8859803203984776}",25,0,-116.98615623544012,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
122,False,"{'a': 0.4, 'e': 0.8850943400780792}",20,0,-87.29913208846177,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
123,False,"{'a': 0.4, 'e': 0.8842092457380011}",30,11,-25.79776461687728,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 0}",1
124,False,"{'a': 0.4, 'e': 0.8833250364922631}",20,0,-97.18123709427448,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
125,False,"{'a': 0.4, 'e': 0.8824417114557708}",20,0,-85.85571948284858,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
126,False,"{'a': 0.4, 'e': 0.8815592697443151}",20,0,-38.02834368075807,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.4, 'e': 0.8806777104745708}",25,10,-32.32475321380151,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.4, 'e': 0.8797970327640962}",25,0,-226.76421055767025,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
129,False,"{'a': 0.4, 'e': 0.8789172357313321}",25,2,-116.02111400152056,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 2}",1
130,False,"{'a': 0.4, 'e': 0.8780383184956008}",25,0,-81.36813010150674,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
131,False,"{'a': 0.4, 'e': 0.8771602801771051}",25,0,-170.25135225871065,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
132,False,"{'a': 0.4, 'e': 0.8762831198969281}",20,0,-79.18065026805978,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
